radlex_code,preferred_description
RID32370,left fourth anterior cervical intertransversarius
RID21755,trunk of pharyngeal branch of right glossopharyngeal nerve
RID35046,blade-of-grass sign
RID29220,layer of cornea
RID14565,nerve to depressor anguli oris
RID43953,left lateral thoracic vein
RID37985,unnamed tributary of third lumbar vein
RID15522,zone of adenohypophysis
RID21830,trunk of branch of left hypoglossal nerve to left thyrohyoid
RID499,second diagonal artery
RID4994,calculus
RID4992,gallstone in bile duct
RID4990,gallstone in gallbladder
RID4996,urolithiasis
RID11006,anesthesia
RID46641,head region of muscle body of left brachialis
RID29562,intestinal epithelium
RID16483,set of rootlets of third sacral nerve
RID29603,muscle layer
RID33193,hepatoesophageal ligament
RID28587,set of veins
RID40046,dorsal part of coracoid process
RID20468,medial nucleus of medial dorsal nucleus of thalamus
RID50058,zone of superior constrictor muscle
RID25970,brodmann area 7 of posterior segment of paracentral lobule
RID29116,tuberculosis
RID30022,posterior part of pelvis
RID39909,epiphysis of first metacarpal bone
RID41713,tendon of third lumbrical of hand
RID24091,medial branch of posterior ramus of first lumbar nerve
RID32031,sacral lymph node group
RID29550,right retropubic compartment
RID18734,posterior root of fifth thoracic nerve
RID14332,right lateral pterygoid nerve
RID34071,white matter of subdivision of thoracic segment of spinal cord
RID19546,neuronal component of white matter of cervical segment of spinal cord
RID22406,trunk of sural nerve
RID37446,internal pyramidal layer of left Brodmann area 35
RID40436,muscle body of right tibialis anterior
RID36002,tributary of internal cerebral vein
RID17199,white matter of posterior part of left middle frontal gyrus
RID33376,adventitia of anterior superior minor calyx
RID22652,l3 posterior division of left lumbar plexus
RID23963,branch of posterior ramus of seventh cervical nerve
RID31011,colon
RID15061,palmar branch of left ulnar nerve
RID33280,left subphrenic space
RID37704,external pyramidal layer of Brodmann area 49
RID30727,paraduodenal fold
RID15471,cutaneous branch of left medial plantar nerve
RID44907,right transverse cervical artery
RID31178,posterior part of abdominal peritoneum
RID22386,trunk of muscular branch of sciatic nerve
RID31330,set of paracolic lymphatic vessels of ascending colon
RID14460,zygomatic branch of right facial nerve
RID34160,right dorsal column-medial lemniscal pathway structure
RID45901,PeerReviewCompleted
RID35970,read outside image
RID31230,posterior lamina of mesentery of ileum
RID34011,anterior segment of right cingulum bundle
RID38415,postcentral branch of spinal branch of right lumbar artery
RID45305,central segment of iliohypogastric nerve
RID31616,mesothelium of serosa of ileum
RID43223,distal zone of teres major
RID46890,axillary nerve component of superior trunk segment of right sixth cervical nerve
RID21397,trunk of ganglionic branch of right lingual nerve to right submandibular ganglion
RID20667,pericentral nucleus of left inferior colliculus
RID38256,efferent glomerular arteriole
RID25440,nerve to right second medial lumbar intertransversarius
RID37138,internal granular layer of right Brodmann area 19
RID26190,brodmann area 34 of parahippocampal gyrus
RID551,conus artery
RID5518,standard pin fixator
RID5510,intermedullary nail
RID5512,Rush rod
RID5514,surgical staple
RID5516,clamp
RID5515,skin staple
RID5517,external fixator
RID5513,staple
RID19701,fifth thoracic nerve
RID39570,skull base to mid-thigh
RID26087,brodmann area 23 of left cuneus
RID4694,Segond fracture
RID4690,Salter type VI fracture
RID4692,Salter type VIII fracture
RID4696,teardrop fracture
RID4699,wedge compression fracture
RID4697,torus fracture
RID4693,Salter type IX fracture
RID4695,stress fracture
RID4691,Salter type VII fracture
RID4698,transchondral fracture
RID10433,external rotation position
RID15792,branch of posterior femoral cutaneous nerve
RID22825,eleventh intercostal nerve
RID20727,nucleus of midbrain reticular formation
RID28111,dura mater of anterior root of first lumbar nerve
RID47096,median nerve component of trunk of sixth cervical nerve
RID49536,set of intercostal arteries
RID32267,left iliocostalis thoracis
RID50265,10m post
RID18201,white matter structure of midbrain tegmentum
RID16572,neural network of back of abdomen
RID37837,brodmann area 28 of left limbic lobe
RID40783,head region of muscle body of left deltoid
RID31332,set of para-aortic lumbar lymphatic vessels
RID31015,cecum proper
RID29432,muscle layer of left anterior intermediate minor calyx
RID27095,nucleus proprius of cervical segment of right dorsal gray column of spinal cord
RID44263,preganglionic segment of posterior root of right fifth lumbar spinal nerve
RID28130,dura mater of anterior root of second sacral nerve
RID50727,neck vein
RID46465,c5 ventral column nucleus of superior subscapular nerve
RID37770,multiform layer of Brodmann area 52
RID18178,white matter of T4 segment of spinal cord
RID26056,brodmann area 19 of occipital segment of left fusiform gyrus
RID30562,lamina propria of stomach
RID46880,superior posterior division segment of C6 root of axillary nerve
RID35891,branch of vertebral artery
RID41726,tendinous sheath of right superior oblique
RID33029,zone of internal fascia
RID32638,posterior surface of neck of pancreas
RID45070,biceps branch of right brachial artery
RID45256,central segment of long thoracic nerve
RID792,pontine perforator artery
RID7920,capsule of costotransverse process joint
RID26321,brodmann area 43 of left postcentral gyrus
RID17298,white matter of simple lobule of cerebellum
RID49114,posterior horn of right medial meniscus
RID44331,postganglionic segment of posterior root of left seventh thoracic spinal nerve
RID46266,posterior division of anterior ramus of right sixth cervical nerve
RID18915,anterior rootlet of thoracic nerve
RID13384,segment of nerve
RID26791,gray matter of temporal segment of fusiform gyrus
RID27516,dorsolateral segment of ventral gray column of spinal cord
RID18042,brachium of left inferior colliculus
RID28650,inspiration expiration maneuver
RID49183,zone of apex of patella
RID36872,internal granular layer of right Brodmann area 5
RID35924,branch of labyrinthine artery
RID25154,descending branch of meningeal branch of fourth lumbar nerve
RID32547,presymphysial lymphatic vessel
RID15230,branch of posterior muscular branch of right radial nerve to lateral head of right triceps brachii
RID27838,palpebral branch of right infratrochlear nerve
RID31404,orifice of stomach
RID6868,folia of cerebellum
RID686,infrahyoid branch of superior thyroid artery
RID6864,flocculus
RID6867,vallecula of cerebellum
RID6861,tonsil of cerebellum
RID6866,paraflocculus
RID6862,flocculonodular lobe of cerebellum
RID6863,nodulus
RID6869,subarachnoid fissure
RID6865,floccular peduncle
RID16338,set of muscular branches of anterior branch of obturator nerve
RID4708,epidural hematoma
RID4704,lipohemarthrosis
RID4702,contusion
RID4700,hemorrhage
RID4709,pulmonary hemorrhage
RID4703,hemarthrosis
RID4701,apoplexy
RID4705,hematoma
RID4706,subdural hematoma
RID49702,signal void from artifact
RID22289,trunk of branch of inferior anal nerve
RID28691,non-parallel
RID46281,upper subscapular nerve branch of posterior division of anterior ramus of left sixth cervical nerve
RID13629,brodmann area 7 of left postcentral gyrus
RID46563,c6 dorsal column nucleus of inferior subscapular nerve
RID18704,anterior root of right sacral nerve
RID19786,right eleventh thoracic spinal ganglion
RID29748,posterior common hepatic lymphatic chain
RID21378,trunk of branch of right buccal nerve to gingiva
RID45491,c6 root of right lateral pectoral nerve
RID20042,subscapularis branch of right superior subscapular nerve (1)
RID34036,c6 segment of anterior corticospinal tract
RID28273,dura mater of anterior rootlet of right third thoracic nerve
RID27066,l5 segment of marginal zone of right dorsal gray column of spinal cord
RID31307,set of inferior ileocolic lymphatic vessels
RID17357,c2 segment of left dorsal funiculus of spinal cord
RID26136,brodmann area 30 of parahippocampal gyrus
RID32793,musculature of perineum
RID46505,c6 ventral column nucleus of right suprascapular nerve
RID43278,small-airways disease
RID11914,iridium
RID27051,marginal zone of lumbar segment of left dorsal gray column of spinal cord
RID11196,transtracheal
RID37767,internal pyramidal lamina of Brodmann area 52
RID48732,proximal nail fold of left fourth toe
RID29805,wall of body of uterus
RID14149,superior branch of right oculomotor nerve
RID42889,distal metaphysis of distal phalanx of index finger
RID46141,trunk of posterior ramus of left eighth cervical nerve
RID11860,tin
RID31632,mesothelium of peritoneum of pancreas
RID22823,right tenth intercostal nerve
RID35281,hook sign
RID23302,lateral cutaneous branch of seventh intercostal nerve
RID11041,cutting balloon
RID44896,acromioclavicular branch of right suprascapular artery
RID27836,cutaneous branch of right infratrochlear nerve to right eyelid
RID34255,fine linear calcification
RID30690,wall of left hepatic duct
RID16056,vasculature of gray matter of C2 segment
RID22012,trunk of nerve to right longus capitis
RID32312,right rectus capitis posterior minor
RID27729,left radial nerve
RID638,inferior palpebral arch
RID6385,petrous
RID6387,subcortical
RID6388,subdural
RID6389,supratentorial
RID6382,intraaxial
RID6380,extraaxial
RID6383,intracranial
RID6384,periventricular
RID6386,subarachnoid
RID6381,infratentorial
RID21476,trunk of branch of zygomatic branch of left facial nerve to left orbicularis oculi
RID27848,anterior meningeal branch of right posterior ethmoidal nerve
RID20221,branch of anterior vagal trunk
RID14301,posterior meningeal branch of left mandibular nerve
RID38292,tributary of ileocolic vein
RID48314,facet region of lateral condyle of right tibia
RID33710,subdivision of cervical part of detrusor
RID27640,white matter of left anterior short insular gyrus
RID27555,t11 segment of left lateral gray column of spinal cord
RID14397,right mental nerve
RID35520,Schmorl node
RID31028,surface of distal part of jejunum
RID17271,white matter of left side of midbrain
RID35823,sinusoid
RID40308,muscle body of right extensor pollicis brevis
RID19933,submandibular ganglion
RID16415,set of cervical ganglia
RID46945,radial nerve component of superior trunk segment of left sixth cervical nerve
RID21621,trunk of superior laryngeal nerve
RID15662,supramammillary commissure
RID16405,set of communicating branches of lingual nerve with hypoglossal nerve
RID43805,medial palmar branch of left ulnar nerve
RID38620,portion of muscle tissue
RID4386,leiomyoblastoma
RID438,lateral conal fascia
RID4387,leiomyosarcoma
RID4381,biphasic mesothelioma
RID4389,leiomyoma
RID4382,myomatous neoplasm
RID4384,leiomyomatous neoplasm
RID776,V2 segment of vertebral artery
